iter	Passed	Remaining
185	4251	18603
186	4268	18556
187	4278	18480
188	4299	18449
189	4316	18402
190	4334	18357
191	4363	18362
192	4387	18345
193	4399	18280
194	4413	18220
195	4427	18160
196	4458	18174
197	4472	18116
198	4487	18063
199	4505	18023
200	4522	17979
201	4547	17964
202	4559	17900
203	4574	17851
204	4603	17854
205	4628	17840
206	4652	17823
207	4669	17780
208	4685	17733
209	4699	17678
210	4710	17615
211	4726	17568
212	4741	17519
213	4752	17453
214	4768	17412
215	4783	17362
216	4800	17321
217	4822	17297
218	4832	17234
219	4856	17217
220	4871	17172
221	4883	17114
222	4898	17066
223	4907	16999
224	4919	16944
225	4939	16915
226	4949	16855
227	4958	16789
228	4967	16724
229	4975	16658
230	4984	16593
231	4993	16529
232	5002	16466
233	5011	16405
234	5020	16342
235	5029	16281
236	5038	16220
237	5047	16159
238	5056	16100
239	5065	16041
240	5074	15982
241	5084	15924
242	5093	15866
243	5102	15807
244	5110	15749
245	5119	15691
246	5128	15634
247	5150	15618
248	5168	15587
249	5177	15532
250	5186	15478
251	5196	15424
252	5205	15368
253	5213	15311
254	5222	15257
255	5231	15202
256	5239	15149
257	5248	15095
258	5257	15040
259	5265	14987
260	5274	14934
261	5283	14881
262	5292	14830
263	5301	14778
264	5309	14727
265	5318	14676
266	5327	14624
267	5336	14574
268	5344	14524
269	5353	14474
270	5362	14424
271	5370	14375
272	5380	14327
273	5388	14278
274	5397	14229
275	5405	14180
276	5414	14131
277	5424	14088
278	5433	14040
279	5442	13994
280	5451	13948
281	5460	13903
282	5469	13857
283	5478	13812
284	5487	13766
285	5496	13721
286	5505	13677
287	5514	13633
288	5523	13589
289	5533	13546
290	5541	13502
291	5550	13457
292	5558	13413
293	5567	13368
294	5576	13326
295	5585	13283
296	5594	13241
297	5603	13199
298	5612	13158
299	5621	13116
300	5629	13074
301	5638	13032
302	5647	12991
303	5656	12951
304	5665	12909
305	5674	12868
306	5683	12828
307	5692	12788
308	5701	12748
309	5709	12709
310	5718	12669
311	5727	12630
312	5736	12591
313	5745	12551
314	5754	12514
315	5763	12476
316	5772	12436
317	5781	12398
318	5789	12360
319	5798	12322
320	5807	12284
321	5819	12252
322	5827	12213
323	5835	12175
324	5844	12138
325	5853	12102
326	5862	12065
327	5871	12029
328	5879	11991
329	5888	11955
330	5897	11919
331	5906	11883
332	5914	11846
333	5923	11811
334	5932	11776
335	5941	11741
336	5950	11705
337	5959	11671
338	5967	11636
339	5976	11601
340	5985	11567
341	5995	11534
342	6003	11500
343	6012	11466
344	6021	11431
345	6030	11398
346	6039	11364
347	6048	11331
348	6057	11298
349	6066	11267
350	6076	11234
351	6085	11202
352	6094	11170
353	6103	11137
354	6112	11105
355	6121	11074
356	6131	11043
357	6140	11011
358	6149	10979
359	6160	10952
360	6180	10939
361	6196	10920
362	6204	10888
363	6214	10857
364	6222	10825
365	6231	10793
366	6239	10761
367	6248	10730
368	6257	10700
369	6265	10669
370	6274	10638
371	6283	10607
372	6292	10577
373	6301	10546
374	6309	10515
375	6318	10485
376	6327	10455
377	6336	10426
378	6344	10396
379	6353	10366
380	6362	10336
381	6371	10307
382	6379	10277
383	6388	10248
384	6397	10219
385	6406	10190
386	6415	10162
387	6425	10135
388	6435	10108
389	6444	10079
390	6453	10050
391	6462	10023
392	6471	9995
393	6480	9967
394	6489	9939
395	6498	9911
396	6507	9883
397	6515	9855
398	6524	9827
399	6533	9799
400	6542	9772
401	6551	9745
402	6561	9719
403	6570	9693
404	6579	9666
405	6589	9640
406	6598	9613
407	6607	9587
408	6617	9561
409	6626	9535
410	6635	9509
411	6644	9483
412	6654	9457
413	6663	9432
414	6672	9406
415	6682	9380
416	6691	9355
417	6700	9329
418	6709	9304
419	6719	9279
420	6728	9253
421	6737	9227
422	6746	9203
423	6756	9178
424	6765	9153
425	6774	9127
426	6783	9103
427	6793	9078
428	6802	9053
429	6813	9031
430	6823	9007
431	6832	8983
432	6841	8958
433	6850	8933
434	6859	8909
435	6868	8885
436	6878	8861
437	6887	8837
438	6896	8813
439	6906	8789
440	6915	8765
441	6924	8741
442	6934	8718
443	6943	8695
444	6952	8671
445	6961	8647
446	6971	8624
447	6980	8601
448	6990	8578
449	6998	8554
450	7008	8531
451	7017	8508
452	7026	8484
453	7035	8460
454	7043	8436
455	7051	8412
456	7060	8388
457	7068	8365
458	7077	8342
459	7086	8318
460	7095	8296
461	7104	8272
462	7113	8250
463	7122	8227
464	7130	8203
465	7139	8181
466	7148	8158
467	7157	8136
468	7167	8114
469	7176	8092
470	7189	8075
471	7211	8067
472	7222	8047
473	7231	8024
474	7239	8001
475	7248	7979
476	7257	7957
477	7265	7934
478	7274	7912
479	7283	7890
480	7292	7868
481	7300	7846
482	7309	7824
483	7318	7801
484	7326	7780
485	7335	7758
486	7344	7736
487	7352	7714
488	7360	7691
489	7368	7669
490	7377	7647
491	7385	7625
492	7394	7604
493	7402	7582
494	7411	7561
495	7422	7542
496	7431	7521
497	7440	7500
498	7449	7479
499	7458	7458
500	7467	7438
501	7477	7417
502	7485	7396
503	7494	7375
504	7503	7355
505	7512	7334
506	7521	7313
507	7530	7293
508	7539	7272
509	7548	7252
510	7556	7231
511	7565	7211
512	7574	7190
513	7583	7170
514	7592	7150
515	7601	7129
516	7609	7109
517	7618	7088
518	7627	7069
519	7636	7048
520	7645	7029
521	7654	7009
522	7663	6989
523	7672	6969
524	7681	6949
525	7691	6930
526	7700	6911
527	7709	6891
528	7718	6872
529	7727	6852
530	7735	6832
531	7744	6813
532	7753	6793
533	7761	6773
534	7770	6753
535	7778	6733
536	7788	6715
537	7796	6695
538	7806	6676
539	7815	6657
540	7824	6638
541	7833	6619
542	7842	6600
543	7852	6581
544	7860	6562
545	7869	6543
546	7878	6524
547	7886	6505
548	7895	6486
549	7904	6467
550	7913	6448
551	7923	6430
552	7932	6412
553	7941	6393
554	7950	6375
555	7960	6356
556	7969	6338
557	7978	6320
558	7988	6302
559	7997	6283
560	8006	6265
561	8016	6247
562	8025	6229
563	8034	6210
564	8042	6192
565	8052	6174
566	8061	6156
567	8070	6137
568	8079	6120
569	8089	6102
570	8098	6084
571	8106	6066
572	8115	6047
573	8124	6029
574	8133	6011
575	8142	5993
576	8151	5976
577	8161	5958
578	8170	5940
579	8179	5922
580	8188	5905
581	8197	5887
582	8206	5869
583	8229	5862
584	8246	5850
585	8255	5832
586	8265	5815
587	8273	5797
588	8283	5779
589	8291	5762
590	8301	5744
591	8310	5727
592	8319	5709
593	8328	5692
594	8336	5674
595	8345	5656
596	8353	5639
597	8362	5621
598	8371	5604
599	8380	5586
600	8389	5569
601	8397	5552
602	8408	5536
603	8419	5520
604	8428	5502
605	8437	5485
606	8446	5468
607	8455	5451
608	8464	5434
609	8474	5417
610	8483	5400
611	8492	5384
612	8501	5367
613	8510	5350
614	8519	5333
615	8529	5316
616	8538	5300
617	8547	5283
618	8556	5266
619	8566	5250
620	8576	5234
621	8585	5217
622	8594	5200
623	8603	5184
624	8612	5167
625	8622	5151
626	8632	5135
627	8641	5118
628	8650	5102
629	8659	5085
630	8668	5069
631	8677	5052
632	8687	5036
633	8697	5020
634	8706	5004
635	8714	4987
636	8723	4971
637	8732	4954
638	8740	4937
639	8748	4921
640	8757	4904
641	8766	4888
642	8775	4872
643	8783	4855
644	8793	4839
645	8803	4824
646	8813	4808
647	8822	4792
648	8830	4775
649	8839	4759
650	8847	4743
651	8855	4726
652	8863	4710
653	8871	4693
654	8880	4677
655	8889	4661
656	8897	4645
657	8906	4629
658	8915	4613
659	8924	4597
660	8933	4581
661	8943	4566
662	8952	4550
663	8961	4534
664	8971	4519
665	8980	4503
666	8990	4488
667	8998	4472
668	9007	4456
669	9017	4441
670	9025	4425
671	9034	4409
672	9044	4394
673	9053	4378
674	9061	4363
675	9070	4347
676	9079	4331
677	9088	4316
678	9097	4300
679	9106	4285
680	9115	4270
681	9124	4254
682	9133	4238
683	9141	4223
684	9151	4208
685	9161	4193
686	9171	4178
687	9180	4163
688	9188	4147
689	9197	4132
690	9206	4117
691	9215	4101
692	9223	4086
693	9233	4071
694	9245	4057
695	9257	4043
696	9273	4031
697	9286	4017
698	9294	4002
699	9303	3987
700	9312	3971
701	9321	3956
702	9330	3941
703	9339	3926
704	9347	3911
705	9357	3896
706	9366	3881
707	9375	3866
708	9384	3851
709	9393	3836
710	9404	3822
711	9413	3807
712	9422	3792
713	9431	3778
714	9441	3763
715	9451	3748
716	9460	3734
717	9470	3719
718	9479	3704
719	9488	3690
720	9498	3675
721	9507	3660
722	9516	3645
723	9525	3631
724	9534	3616
725	9543	3601
726	9552	3587
727	9562	3572
728	9571	3558
729	9581	3543
730	9590	3529
731	9599	3514
732	9608	3500
733	9617	3485
734	9627	3471
735	9637	3456
736	9646	3442
737	9655	3427
738	9665	3413
739	9674	3399
740	9683	3384
741	9692	3370
742	9700	3355
743	9709	3340
744	9717	3326
745	9727	3311
746	9736	3297
747	9745	3283
748	9755	3269
749	9764	3254
750	9773	3240
751	9782	3226
752	9790	3211
753	9802	3198
754	9811	3183
755	9819	3169
756	9828	3154
757	9837	3140
758	9846	3126
759	9855	3112
760	9864	3097
761	9873	3083
762	9881	3069
763	9890	3055
764	9899	3041
765	9908	3026
766	9918	3012
767	9927	2998
768	9936	2984
769	9944	2970
770	9953	2956
771	9961	2942
772	9969	2927
773	9978	2913
774	9987	2899
775	9997	2885
776	10006	2871
777	10015	2857
778	10023	2843
779	10032	2829
780	10041	2815
781	10050	2801
782	10059	2787
783	10068	2773
784	10076	2759
785	10085	2745
786	10094	2732
787	10103	2718
788	10111	2704
789	10120	2690
790	10129	2676
791	10138	2662
792	10147	2648
793	10156	2635
794	10164	2621
795	10173	2607
796	10182	2593
797	10190	2579
798	10199	2565
799	10207	2551
800	10216	2538
801	10225	2524
802	10235	2511
803	10245	2497
804	10254	2484
805	10264	2470
806	10278	2458
807	10294	2446
808	10313	2434
809	10322	2421
810	10332	2407
811	10342	2394
812	10351	2380
813	10360	2367
814	10369	2353
815	10378	2340
816	10387	2326
817	10397	2313
818	10406	2299
819	10415	2286
820	10424	2272
821	10432	2259
822	10441	2245
823	10450	2232
824	10459	2218
825	10468	2205
826	10478	2191
827	10486	2178
828	10496	2165
829	10505	2151
830	10513	2138
831	10522	2124
832	10532	2111
833	10540	2098
834	10550	2084
835	10558	2071
836	10567	2057
837	10576	2044
838	10585	2031
839	10594	2017
840	10602	2004
841	10611	1991
842	10619	1977
843	10628	1964
844	10637	1951
845	10646	1937
846	10655	1924
847	10663	1911
848	10672	1898
849	10682	1885
850	10692	1872
851	10701	1858
852	10710	1845
853	10719	1832
854	10727	1819
855	10736	1806
856	10744	1792
857	10754	1779
858	10763	1766
859	10771	1753
860	10780	1740
861	10788	1727
862	10798	1714
863	10807	1701
864	10817	1688
865	10825	1675
866	10834	1662
867	10843	1648
868	10851	1635
869	10860	1622
870	10869	1609
871	10878	1596
872	10887	1583
873	10896	1570
874	10905	1557
875	10915	1545
876	10924	1532
877	10934	1519
878	10943	1506
879	10953	1493
880	10962	1480
881	10972	1467
882	10982	1455
883	10991	1442
884	11001	1429
885	11010	1416
886	11019	1403
887	11028	1391
888	11038	1378
889	11047	1365
890	11056	1352
891	11065	1339
892	11074	1326
893	11082	1314
894	11092	1301
895	11101	1288
896	11110	1275
897	11119	1262
898	11128	1250
899	11137	1237
900	11146	1224
901	11155	1211
902	11164	1199
903	11172	1186
904	11181	1173
905	11190	1161
906	11199	1148
907	11207	1135
908	11216	1122
909	11225	1110
910	11234	1097
911	11243	1084
912	11251	1072
913	11260	1059
914	11270	1046
915	11278	1034
916	11287	1021
917	11296	1009
918	11314	997
919	11327	985
920	11348	973
921	11367	961
922	11386	949
923	11401	937
924	11412	925
925	11425	913
926	11438	900
927	11455	888
928	11470	876
929	11484	864
930	11504	852
931	11520	840
932	11543	828
933	11562	817
934	11584	805
935	11603	793
936	11617	781
937	11640	769
938	11663	757
939	11681	745
940	11698	733
941	11715	721
942	11731	709
943	11753	697
944	11772	685
945	11792	673
946	11813	661
947	11829	648
948	11847	636
949	11863	624
950	11880	612
951	11899	599
952	11918	587
953	11942	575
954	11965	563
955	11982	551
956	12006	539
957	12026	527
958	12042	514
959	12062	502
960	12082	490
961	12102	478
962	12122	465
963	12140	453
964	12161	441
965	12183	428
966	12205	416
967	12225	404
968	12243	391
969	12265	379
970	12283	366
971	12302	354
972	12321	341
973	12343	329
974	12366	317
975	12386	304
976	12407	292
977	12424	279
978	12442	266
979	12462	254
980	12474	241
981	12483	228
982	12495	216
983	12505	203
984	12516	190
985	12527	177
986	12538	165
987	12550	152
988	12570	139
989	12589	127
990	12611	114
991	12632	101
992	12651	89
993	12669	76
994	12693	63
995	12711	51
996	12732	38
997	12753	25
998	12773	12
999	12794	0
777
964	20836	755
965	20854	734
966	20878	712
967	20889	690
968	20899	668
969	20910	646
970	20921	624
971	20936	603
972	20956	581
973	20976	559
974	20989	538
975	21001	516
976	21023	494
977	21043	473
978	21065	451
979	21080	430
980	21095	408
981	21121	387
982	21133	365
983	21146	343
984	21160	322
985	21174	300
986	21187	279
987	21201	257
988	21220	236
989	21238	214
990	21268	193
991	21288	171
992	21314	150
993	21327	128
994	21345	107
995	21365	85
996	21384	64
997	21401	42
998	21425	21
999	21445	0
