iter	MultiClass
167	0.8036714648
168	0.8031779657
169	0.803067296
170	0.8013283699
171	0.8011421892
172	0.8005448176
173	0.7997322456
174	0.7994561464
175	0.7992630161
176	0.7986505806
177	0.7980541651
178	0.797857704
179	0.7971128781
180	0.7969541996
181	0.7958728458
182	0.7948816034
183	0.7947165582
184	0.7938307669
185	0.7926985868
186	0.7924942271
187	0.7921308486
188	0.7909830224
189	0.7908282802
190	0.7905830227
191	0.7904037596
192	0.7901672137
193	0.7898374084
194	0.7894638309
195	0.7892842909
196	0.7876122101
197	0.7872166896
198	0.7867226452
199	0.7865317234
200	0.7864406307
201	0.7856579825
202	0.7854984042
203	0.7851130998
204	0.7848884005
205	0.7847784826
206	0.7846233011
207	0.7845252149
208	0.7839298382
209	0.7837143286
210	0.7823721183
211	0.7815557529
212	0.7811122364
213	0.7809591194
214	0.7807450676
215	0.7806055645
216	0.7795658132
217	0.7786720434
218	0.7785356538
219	0.7784301173
220	0.7781910496
221	0.7774659078
222	0.7766232651
223	0.7765129815
224	0.7761566781
225	0.7760584941
226	0.7758070997
227	0.7757381637
228	0.7749796513
229	0.7745334026
230	0.7739045054
231	0.7734078566
232	0.7729433591
233	0.7724154762
234	0.7722677936
235	0.7713177613
236	0.7712058216
237	0.7707738713
238	0.7702823816
239	0.7701097054
240	0.7693140181
241	0.7687993118
242	0.7676030487
243	0.7675152832
244	0.7670700841
245	0.7669889111
246	0.7668521094
247	0.7664023631
248	0.7657443557
249	0.7652561165
250	0.765167551
251	0.7649471369
252	0.764574829
253	0.7644716765
254	0.7643549344
255	0.7639996715
256	0.7637622209
257	0.7634034302
258	0.7633125294
259	0.762922426
260	0.7627702221
261	0.7624395393
262	0.7611452717
263	0.7607807775
264	0.7606618446
265	0.7598960708
266	0.7596607408
267	0.7585838013
268	0.7575493252
269	0.7567837719
270	0.7564401743
271	0.756076799
272	0.7551071874
273	0.7549085991
274	0.7537049727
275	0.7531950532
276	0.752403704
277	0.7516764232
278	0.7515681655
279	0.7514390485
280	0.751325703
281	0.7505117045
282	0.7497147294
283	0.7486404018
284	0.7485307781
285	0.7473952035
286	0.7467300605
287	0.7465199611
288	0.7461725311
289	0.7458423494
290	0.7455777222
291	0.7454780733
292	0.7453940004
293	0.7449233103
294	0.7442118449
295	0.743809244
296	0.7432426175
297	0.7428807537
298	0.7426299318
299	0.7423665016
300	0.7420559979
301	0.741919666
302	0.7417153831
303	0.7415315284
304	0.7414215534
305	0.7407181263
306	0.7405494655
307	0.7404495987
308	0.7403404399
309	0.7400911497
310	0.7399731047
311	0.7394766429
312	0.7388870996
313	0.7387050673
314	0.7375504038
315	0.7374566975
316	0.7373368034
317	0.7368052403
318	0.73666874
319	0.7362266145
320	0.7357105672
321	0.7352883884
322	0.7351413245
323	0.7350509033
324	0.7344827771
325	0.7343416402
326	0.7341679312
327	0.733046119
328	0.7328861789
329	0.7324315427
330	0.7322097369
331	0.7316486826
332	0.7315882338
333	0.730949466
334	0.7300429814
335	0.7293707213
336	0.7292884225
337	0.729056247
338	0.7288926331
339	0.7284712689
340	0.7278354367
341	0.7271860707
342	0.7270414542
343	0.7266381135
344	0.7265146452
345	0.7262566939
346	0.7256139126
347	0.7251130155
348	0.7244351961
349	0.7239435712
350	0.7231902567
351	0.7229459833
352	0.7225450601
353	0.7223461499
354	0.7217830018
355	0.7216446701
356	0.7213549331
357	0.7210007279
358	0.7207830789
359	0.7206236535
360	0.7205317188
361	0.7203128334
362	0.7198078704
363	0.7191274194
364	0.7185558332
365	0.7182994867
366	0.7182074525
367	0.717990653
368	0.7175446477
369	0.7174480227
370	0.7167211376
371	0.7162388947
372	0.7157715945
373	0.7148997387
374	0.7147351182
375	0.713895408
376	0.7135268485
377	0.7133343375
378	0.7132309875
379	0.7129534419
380	0.712873092
381	0.7125800719
382	0.7123012076
383	0.7119520038
384	0.7116327866
385	0.7109410376
386	0.7108410384
387	0.7100980623
388	0.7100012729
389	0.7096054888
390	0.7094330604
391	0.7089742435
392	0.7088035916
393	0.7086652901
394	0.7080497572
395	0.7079734403
396	0.7073368808
397	0.7072402394
398	0.7071462527
399	0.7068674174
400	0.7067455508
401	0.7061936257
402	0.7059738841
403	0.7057264957
404	0.7053450124
405	0.7049509877
406	0.7045486684
407	0.7037636715
408	0.7035284974
409	0.7032425011
410	0.7031698132
411	0.7027250303
412	0.7020776305
413	0.7014760028
414	0.7010087084
415	0.7008910324
416	0.700280104
417	0.699720046
418	0.6996588832
419	0.6983529578
420	0.6981485696
421	0.6978603397
422	0.6968583279
423	0.6966421424
424	0.6965338102
425	0.6964605428
426	0.6959102449
427	0.695317863
428	0.6948408017
429	0.6946331817
430	0.6940443348
431	0.6936936612
432	0.6935891969
433	0.6933599912
434	0.6931065455
435	0.6929490831
436	0.6925789625
437	0.6923450533
438	0.6920131839
439	0.6914130166
440	0.6910307255
441	0.6909324708
442	0.6903173527
443	0.6900533004
444	0.6899612258
445	0.6896544527
446	0.688948453
447	0.6883999652
448	0.6880802221
449	0.6880080463
450	0.6872833745
451	0.6865802412
452	0.6864743734
453	0.6863983971
454	0.6861591122
455	0.6860746844
456	0.6859664217
457	0.6853859599
458	0.6851043462
459	0.6841783693
460	0.6835835319
461	0.6834121304
462	0.6829723928
463	0.6822350471
464	0.6821674959
465	0.681663129
466	0.681426644
467	0.6807415775
468	0.6804012094
469	0.6801340646
470	0.6799124347
471	0.6798617723
472	0.6796767545
473	0.6794295509
474	0.6793084899
475	0.6786483129
476	0.6783975341
477	0.6782320604
478	0.6775821048
479	0.6772772884
480	0.677029466
481	0.6764559622
482	0.6756546686
483	0.6756059604
484	0.6751878213
485	0.6745816969
486	0.6739872101
487	0.6739076527
488	0.6737337504
489	0.6735686131
490	0.6734326652
491	0.6732965349
492	0.6728671748
493	0.6726387892
494	0.6725616097
495	0.6720771551
496	0.671716296
497	0.6713458114
498	0.6711217603
499	0.6702390182
500	0.6700771892
501	0.6694562347
502	0.6691207518
503	0.6690243679
504	0.6683779378
505	0.668236691
506	0.6681825531
507	0.6676097973
508	0.6673232937
509	0.6668920887
510	0.6667642983
511	0.6666883253
512	0.6662918927
513	0.6656473145
514	0.6652364738
515	0.6651137188
516	0.6650447778
517	0.6649555235
518	0.6641496857
519	0.6636300176
520	0.6634986765
521	0.6632177744
522	0.6623742901
523	0.6621864947
524	0.6619732855
525	0.6615336378
526	0.661087807
527	0.6610193107
528	0.6607959165
529	0.6606075796
530	0.6605094214
531	0.6600661604
532	0.6597284155
533	0.6596480315
534	0.6593421189
535	0.659117759
536	0.6585906655
537	0.6585267778
538	0.6583726271
539	0.6579081688
540	0.657678339
541	0.6568413579
542	0.6564818977
543	0.6555594727
544	0.655484355
545	0.6551984617
546	0.6550562926
547	0.6549739119
548	0.6542417127
549	0.6541816437
550	0.6538936784
551	0.6534822952
552	0.6530597499
553	0.652625556
554	0.6517425809
555	0.6514305004
556	0.6513737194
557	0.6512895532
558	0.6506766818
559	0.6505330354
560	0.6502090317
561	0.6497081078
562	0.6491522532
563	0.649015579
564	0.64896385
565	0.6483976914
566	0.6476890968
567	0.6476285969
568	0.647172697
569	0.646393291
570	0.646315126
571	0.6462114479
572	0.6461396867
573	0.6460342497
574	0.6455487284
575	0.6452956857
576	0.6449157011
577	0.6445716121
578	0.6442540173
579	0.6437927919
580	0.6435281913
581	0.6433930758
582	0.6428034564
583	0.6422684051
584	0.6419974354
585	0.6416804609
586	0.6415909217
587	0.6413940175
588	0.6411722169
589	0.6408887812
590	0.640341123
591	0.6402621457
592	0.6401243142
593	0.6397932177
594	0.6396193625
595	0.6395360645
596	0.6394525286
597	0.638979656
598	0.6389115468
599	0.6387835183
600	0.6387299896
601	0.6386709076
602	0.6384546171
603	0.6380722266
604	0.6378500922
605	0.6371774534
606	0.636857197
607	0.6365594705
608	0.6364775293
609	0.6363654227
610	0.636278501
611	0.6358240479
612	0.6357771525
613	0.6352741562
614	0.6350161096
615	0.6344321226
616	0.6343561388
617	0.6340324473
618	0.6339229885
619	0.6336602849
620	0.6330738971
621	0.632865747
622	0.6327121187
623	0.6324340036
624	0.6323788994
625	0.6320430557
626	0.631578961
627	0.6311313088
628	0.6309552136
629	0.6305421198
630	0.6305156874
631	0.6296979758
632	0.6294964758
633	0.6291843682
634	0.6291260175
635	0.6290713219
636	0.628739917
637	0.6285142946
638	0.6284417917
639	0.6283586733
640	0.6277351461
641	0.627190128
642	0.6268570564
643	0.6268054032
644	0.6261892727
645	0.6261259335
646	0.6258133739
647	0.6257247764
648	0.6256557847
649	0.6252629483
650	0.625219326
651	0.6251496855
652	0.625065186
653	0.6250054202
654	0.6247748933
655	0.6238995602
656	0.6237919733
657	0.6233353697
658	0.6228948786
659	0.6227860449
660	0.6227353347
661	0.6223364034
662	0.6222660055
663	0.6218673212
664	0.6211035935
665	0.6207778909
666	0.6203364238
667	0.6201374329
668	0.6200971673
669	0.6195328371
670	0.618834183
671	0.6184223566
672	0.6178800411
673	0.6176748942
674	0.6175603781
675	0.6173114437
676	0.6170341397
677	0.6169488542
678	0.6168024715
679	0.6166987298
680	0.6162846799
681	0.6162499154
682	0.6158124061
683	0.6155232344
684	0.6154661857
685	0.6149774082
686	0.6148769021
687	0.6146817691
688	0.614597682
689	0.614529246
690	0.6141640752
691	0.6139608793
692	0.6135482344
693	0.6130493609
694	0.6128246633
695	0.6118351598
696	0.6114280382
697	0.6112888959
698	0.6112298688
699	0.611145111
700	0.6109236049
701	0.610532472
702	0.6102051945
703	0.6099556164
704	0.6099033568
705	0.6093972949
706	0.6091238902
707	0.6087935813
708	0.6085731266
709	0.6084175313
710	0.6083235985
711	0.6081781663
712	0.6079569628
713	0.6076070183
714	0.6072950256
715	0.6068481163
716	0.6065782459
717	0.6062190464
718	0.605563929
719	0.6048940225
720	0.6044559683
721	0.6043800967
722	0.6041344145
723	0.6037624481
724	0.603232983
725	0.6028549611
726	0.6027104363
727	0.6023913768
728	0.6017988553
729	0.6015592855
730	0.601332797
731	0.6010306435
732	0.6007265876
733	0.6006576019
734	0.6003344687
735	0.5999554302
736	0.5994513413
737	0.5992714034
738	0.5989066305
739	0.5988435017
740	0.5986490378
741	0.5983664031
742	0.5976851488
743	0.5974058726
744	0.5972011588
745	0.5971420879
746	0.5969645665
747	0.5969179638
748	0.5968005477
749	0.5963497756
750	0.5962358131
751	0.5956004454
752	0.5949966247
753	0.5944477574
754	0.594208
755	0.594076443
756	0.5939146118
757	0.5934293562
758	0.593135632
759	0.5925218274
760	0.5924805611
761	0.592197726
762	0.5920719842
763	0.5920098933
764	0.5916902465
765	0.5915346596
766	0.5911643624
767	0.5910133047
768	0.5908296959
769	0.5905370502
770	0.5898653669
771	0.5897698614
772	0.5894314465
773	0.5889362991
774	0.5888773424
775	0.5885427973
776	0.5882643483
777	0.5878105949
778	0.5875715892
779	0.587508408
780	0.5874617916
781	0.587176744
782	0.5869166766
783	0.5866485812
784	0.5864872929
785	0.5862124958
786	0.5856742344
787	0.5855452495
788	0.5853788027
789	0.5850529179
790	0.5849718416
791	0.5847181128
792	0.5846790992
793	0.584637396
794	0.5844495122
795	0.5839701404
796	0.5837625135
797	0.5832942505
798	0.5830233712
799	0.5829594692
800	0.5826876796
801	0.5825679974
802	0.5822482125
803	0.5821641579
804	0.5820065142
805	0.5812301712
806	0.5807789445
807	0.5804225895
808	0.580080184
809	0.5800124363
810	0.5798473581
811	0.5796215724
812	0.5792560207
813	0.5791502173
814	0.5789553459
815	0.5787932765
816	0.5785790983
817	0.5784786815
818	0.5784304352
819	0.5780305222
820	0.5778341461
821	0.5773470794
822	0.5769378147
823	0.5766610092
824	0.5765530446
825	0.576394404
826	0.5761329268
827	0.5760628499
828	0.5759417812
829	0.575708468
830	0.5755027318
831	0.5752779452
832	0.575005874
833	0.5747051801
834	0.5745179922
835	0.5744589469
836	0.5742551602
837	0.5742057629
838	0.5739251789
839	0.5735576594
840	0.5735107835
841	0.5730410503
842	0.5729873459
843	0.5727744665
844	0.5722964038
845	0.5720380609
846	0.5718514777
847	0.5717852775
848	0.5716042368
849	0.5712005175
850	0.5709309093
851	0.5704413748
852	0.5701349314
853	0.5700627259
854	0.5695875152
855	0.5695290258
856	0.5692311203
857	0.5686947051
858	0.5684328572
859	0.5682583454
860	0.5681873479
861	0.568050047
862	0.5679614565
863	0.5677460329
864	0.5675989578
865	0.5675113134
866	0.5672334809
867	0.5671875845
868	0.5668838594
869	0.5668419044
870	0.5662602018
871	0.5659060754
872	0.5653917867
873	0.5652084101
874	0.5651630905
875	0.5648874079
876	0.5645990016
877	0.5643455012
878	0.5641846128
879	0.5638463643
880	0.5634891921
881	0.5630532652
882	0.5626506306
883	0.5622916583
884	0.561845095
885	0.5614881201
886	0.5612727969
887	0.5607390547
888	0.5606569178
889	0.5604693591
890	0.5603240623
891	0.5598383298
892	0.5595414662
893	0.5594507199
894	0.5591133003
895	0.5587997795
896	0.5584983923
897	0.5583022485
898	0.558119311
899	0.5577573615
900	0.5575136348
901	0.5574787383
902	0.5569986441
903	0.5569676303
904	0.5568283296
905	0.5565738044
906	0.5565155253
907	0.5561798762
908	0.555950117
909	0.5555462603
910	0.5551850078
911	0.5547410977
912	0.5543819621
913	0.5539162283
914	0.553370103
915	0.5532191177
916	0.5527397792
917	0.5526874277
918	0.5523854753
919	0.5522783847
920	0.5520248084
921	0.5519888791
922	0.5514584299
923	0.5511967234
924	0.5507627591
925	0.5504073871
926	0.5501005744
927	0.5498990136
928	0.5498215963
929	0.5497786646
930	0.5496659389
931	0.5495994652
932	0.549350212
933	0.5492935217
934	0.5492257918
935	0.5489086098
936	0.548717642
937	0.5483213047
938	0.548030407
939	0.5479801285
940	0.5478014313
941	0.5472012631
942	0.5470487399
943	0.5467509007
944	0.5463555991
945	0.5462460763
946	0.5460535217
947	0.5456349951
948	0.5454226315
949	0.5453714562
950	0.5450640156
951	0.5447033156
952	0.5444895379
953	0.5442889345
954	0.5440071926
955	0.5438301274
956	0.54370553
957	0.5432695765
958	0.5432183587
959	0.5431058685
960	0.5429554149
961	0.5425378975
962	0.5422666066
963	0.542190712
964	0.5420720022
965	0.5420094615
966	0.5417003065
967	0.5415358502
968	0.5414413315
969	0.5413800435
970	0.5410465402
971	0.5408469114
972	0.5408032263
973	0.5406365751
974	0.5405696925
975	0.540401145
976	0.5400335672
977	0.5399841444
978	0.5396612117
979	0.5391225749
980	0.5387377365
981	0.5386959125
982	0.5384844979
983	0.5383434675
984	0.5380559936
985	0.5379226439
986	0.537697347
987	0.5375633546
988	0.5373269174
989	0.5370781385
990	0.5367675524
991	0.5365050165
992	0.5362666381
993	0.5360753867
994	0.5359554904
995	0.5358448844
996	0.5357024042
997	0.53535781
998	0.535156388
999	0.5351260254
